text,label
Special discount on luxury watches! Click here to shop now.,spam
The meeting has been rescheduled to next Tuesday at 3 PM.,not spam
Looking forward to our meeting on Monday. Let me know if it works.,not spam
"Hi, let's meet for lunch tomorrow at our usual place.",not spam
Don't miss this investment opportunity with guaranteed returns!,spam
Special discount on luxury watches! Click here to shop now.,spam
Please let me know if you need any assistance with the task.,not spam
"Hi, let's meet for lunch tomorrow at our usual place.",not spam
"Hi, let's meet for lunch tomorrow at our usual place.",not spam
Earn $5000 per week from home! Sign up now and start earning.,spam
Don't miss this investment opportunity with guaranteed returns!,spam
"Limited time offer! Buy one, get one free. Visit our website today!",spam
Congratulations! You've been selected for a $1000 gift card. Act now!,spam
Can you please share the project update by evening?,not spam
"You won a lottery of $10,000. Provide your bank details to claim.",spam
Congratulations! You've been selected for a $1000 gift card. Act now!,spam
Win a free iPhone now! Click the link to claim your prize.,spam
Can you please share the project update by evening?,not spam
Can you please share the project update by evening?,not spam
The weather looks great this weekend. Shall we go hiking?,not spam
Exclusive deal just for you! 50% off on premium products. Hurry!,spam
Thank you for your prompt response to my query.,not spam
Looking forward to our meeting on Monday. Let me know if it works.,not spam
Looking forward to our meeting on Monday. Let me know if it works.,not spam
Please let me know if you need any assistance with the task.,not spam
Can you please share the project update by evening?,not spam
The meeting has been rescheduled to next Tuesday at 3 PM.,not spam
"Limited time offer! Buy one, get one free. Visit our website today!",spam
"Claim your free vacation to Hawaii. No hidden costs, guaranteed!",spam
Please let me know if you need any assistance with the task.,not spam
Special discount on luxury watches! Click here to shop now.,spam
Your account has been compromised. Verify your details immediately.,spam
Special discount on luxury watches! Click here to shop now.,spam
Your order has been shipped and will arrive soon.,not spam
Earn $5000 per week from home! Sign up now and start earning.,spam
Please find attached the report for your review.,not spam
Your order has been shipped and will arrive soon.,not spam
Your account has been compromised. Verify your details immediately.,spam
Congratulations! You've been selected for a $1000 gift card. Act now!,spam
The meeting has been rescheduled to next Tuesday at 3 PM.,not spam
Looking forward to our meeting on Monday. Let me know if it works.,not spam
Special discount on luxury watches! Click here to shop now.,spam
Can you please share the project update by evening?,not spam
Don't miss this investment opportunity with guaranteed returns!,spam
Looking forward to our meeting on Monday. Let me know if it works.,not spam
"Limited time offer! Buy one, get one free. Visit our website today!",spam
Please find attached the report for your review.,not spam
The weather looks great this weekend. Shall we go hiking?,not spam
Earn $5000 per week from home! Sign up now and start earning.,spam
Your order has been shipped and will arrive soon.,not spam
Don't miss this investment opportunity with guaranteed returns!,spam
Earn $5000 per week from home! Sign up now and start earning.,spam
Congratulations! You've been selected for a $1000 gift card. Act now!,spam
"You won a lottery of $10,000. Provide your bank details to claim.",spam
Exclusive deal just for you! 50% off on premium products. Hurry!,spam
Earn $5000 per week from home! Sign up now and start earning.,spam
Your order has been shipped and will arrive soon.,not spam
Can you please share the project update by evening?,not spam
Congratulations! You've been selected for a $1000 gift card. Act now!,spam
Exclusive deal just for you! 50% off on premium products. Hurry!,spam
Earn $5000 per week from home! Sign up now and start earning.,spam
Please find attached the report for your review.,not spam
Thank you for your prompt response to my query.,not spam
Looking forward to our meeting on Monday. Let me know if it works.,not spam
Don't miss this investment opportunity with guaranteed returns!,spam
Please find attached the report for your review.,not spam
Don't miss this investment opportunity with guaranteed returns!,spam
Thank you for your prompt response to my query.,not spam
Happy birthday! Wishing you a fantastic year ahead.,not spam
Your order has been shipped and will arrive soon.,not spam
Looking forward to our meeting on Monday. Let me know if it works.,not spam
Happy birthday! Wishing you a fantastic year ahead.,not spam
Your account has been compromised. Verify your details immediately.,spam
Looking forward to our meeting on Monday. Let me know if it works.,not spam
Happy birthday! Wishing you a fantastic year ahead.,not spam
Win a free iPhone now! Click the link to claim your prize.,spam
Special discount on luxury watches! Click here to shop now.,spam
Your account has been compromised. Verify your details immediately.,spam
Win a free iPhone now! Click the link to claim your prize.,spam
Can you please share the project update by evening?,not spam
Don't miss this investment opportunity with guaranteed returns!,spam
"Hi, let's meet for lunch tomorrow at our usual place.",not spam
Please let me know if you need any assistance with the task.,not spam
The weather looks great this weekend. Shall we go hiking?,not spam
Don't miss this investment opportunity with guaranteed returns!,spam
"Limited time offer! Buy one, get one free. Visit our website today!",spam
"Limited time offer! Buy one, get one free. Visit our website today!",spam
Win a free iPhone now! Click the link to claim your prize.,spam
"Claim your free vacation to Hawaii. No hidden costs, guaranteed!",spam
Exclusive deal just for you! 50% off on premium products. Hurry!,spam
Special discount on luxury watches! Click here to shop now.,spam
Your account has been compromised. Verify your details immediately.,spam
Special discount on luxury watches! Click here to shop now.,spam
Your account has been compromised. Verify your details immediately.,spam
Don't miss this investment opportunity with guaranteed returns!,spam
Can you please share the project update by evening?,not spam
Congratulations! You've been selected for a $1000 gift card. Act now!,spam
Win a free iPhone now! Click the link to claim your prize.,spam
Thank you for your prompt response to my query.,not spam
"Claim your free vacation to Hawaii. No hidden costs, guaranteed!",spam
